target,spec_num,eccentricity,aspect_ratio,elongation,solidity,stochastic_convexity,isoperimetric_factor,maximal_indentation_depth,lobedness,average_intensity,average_contrast,smoothness,third_moment,uniformity,entropy
1,-1.525466397580369,0.034015590406303337,-0.3716791614310204,-0.9704343094996616,0.7082420691481326,0.4885590273709213,1.40065394723367,-0.8473900677647679,-0.5000757300742691,-0.09888402951286869,0.06585431193780844,-0.11355682731666727,-0.1313565678471833,-0.2606456350958702,0.02217668576031349
1,-1.2366809993747312,0.10501518276434221,-0.35186417316620167,-0.7802336878163928,0.6748328874402015,0.4733477929960236,1.2294144318627045,-0.8322066269434596,-0.49906085897041097,-0.7559132717851607,-0.6567503269447639,-0.6943255033866764,-0.6081684515301932,-0.7240332830117444,-0.7968485948975934
1,-0.9478956011690934,0.22738026790338225,-0.3338575430537062,-0.6328793352112367,0.6402024823800211,0.4885590273709213,1.2728564028762779,-0.7747858971855665,-0.49413665166390874,-1.0968844777938411,-1.2936813678512653,-1.0454984410957047,-0.9457731007178164,-0.8096998736510409,-1.229623461366608
1,-0.6591102029634557,0.08696525259083149,-0.3772581387094645,-0.8180692953555377,0.6237159671246713,0.4885590273709213,1.3135401535080375,-0.7898345353907389,-0.49559311818410756,-0.9841913115251318,-1.1385317461282263,-0.9741355403721244,-0.9016260209513889,-0.7439062632103735,-0.9827754210990103
1,-0.37032480475781787,0.4952009073661928,-0.2575986950131805,-0.35350938981409163,0.6352303587315815,0.4885590273709213,1.028340166028449,-0.7755454580803323,-0.4942126395486636,-1.2069667661171686,-1.5271192650149634,-1.1354799633303982,-1.013927941216372,-0.8430347466644166,-1.4028975515565254
1,-0.08153940655218006,0.04856114583868081,-0.3659078056257334,-0.8739023810754646,0.7274327218263188,0.4885590273709213,1.4415675495639142,-0.8399111149272275,-0.49959085041977674,-1.136089354289987,-1.2727980667916023,-1.0364326773220385,-0.9072171280927812,-0.8400354888644368,-1.4053939021750101
1,0.20724599165345775,0.4837756856074278,-0.26444737056878775,-0.3537139066116002,0.6584336024242966,0.45804963728184117,1.087044289821395,-0.8144334204775402,-0.49772020183406634,-0.9167644849271501,-0.847438197839511,-0.8155319297175169,-0.6906561707412102,-0.8013348648410511,-1.0662321838991866
1,0.49603138985909556,0.28786673603801927,-0.31500444742310196,-0.621426394550739,0.7062357736408691,0.4733477929960236,1.2730402842350659,-0.8359292530352129,-0.4993207567737115,-0.7360327847676114,-0.6719837598507049,-0.7045108562711239,-0.6538039746842617,-0.5573496466688231,-0.8427404103771412
1,0.7848167880647334,0.5330289525170612,-0.23866864797183907,-0.2905693453807302,0.6825091485114756,0.4885590273709213,1.1024903239595545,-0.812421750667512,-0.49755803022179224,-1.2262411068172596,-1.6181920544007349,-1.1648873526363153,-1.046367695961735,-0.8213422785423068,-1.4117544667645754
1,1.0736021862703713,0.8950836689229615,-0.019087797433352552,0.3558571223454972,0.6339219051398871,0.4733477929960236,0.6112053036187474,-0.7502984834928776,-0.4915136268319302,-1.2327780333876455,-1.584813481792907,-1.1544766279178795,-1.0330000387861826,-0.8320320598201325,-1.5077442775328993
1,1.362387584476009,0.12503332340890078,-0.3645611559378331,-0.8824920865708384,0.6873940419204684,0.4885590273709213,1.37748489602643,-0.8238022022989859,-0.49844728084781503,-1.2673033490935068,-1.6973480570322381,-1.1878316593481755,-1.0613654630910108,-0.8237157252093696,-1.559996657602012
1,1.6511729826816468,0.3658270727448852,-0.2873404152630929,-0.408473279144606,0.6773625643841442,0.4885590273709213,1.096927912856229,-0.7659226251746303,-0.49322287330293346,-1.047391796827075,-1.2862189140100007,-1.0422778048874175,-0.9654553089655562,-0.5763789407475198,-1.137241390190752
2,-1.525466397580369,1.0261376832146756,0.12234889550154779,0.6585931118580332,0.6917555538927828,0.4885590273709213,0.309272112489486,-0.824655088081846,-0.49851114914588746,-0.6015405949719671,-0.6680693460786721,-0.7019009050323538,-0.729661698602614,-0.3439480503441471,-0.42342189963927546
2,-1.2366809993747312,0.9217265179822658,0.022773770007662578,0.4574508415080391,0.6877429628782529,0.4885590273709213,0.5421118830543021,-0.8086913475017509,-0.49725186637726754,-0.9025283879299679,-1.0036483750180274,-0.9046337747937392,-0.8384805102295134,-0.7045056578457252,-0.8284462383425278
2,-0.9478956011690934,0.8198116196887456,-0.056755512989192486,0.2705224885849125,0.7254264263190544,0.4885590273709213,0.6115730663363229,-0.8945735757703397,-0.5024632886507038,-0.6137747408289204,-0.6403213587981037,-0.6832604733437576,-0.6968894996488437,-0.4301013829757123,-0.497320717263197
2,-0.6591102029634557,0.7090157717087916,-0.1659110891198542,0.004497264225222315,0.721849986501756,0.4885590273709213,0.788558874169401,-0.8269804332101903,-0.498683708975318,-0.5838566932332798,-0.6261484813476393,-0.6736131048372184,-0.6939050573233707,-0.43733297828941914,-0.37134050248923706
2,-0.37032480475781787,0.9536979368534317,0.03250812346591338,0.5251970306828592,0.6502339599163451,0.4885590273709213,0.45573361476382024,-0.8372072855305013,-0.49940828712197344,-0.7856644901191155,-0.8196323620795533,-0.7986944727008286,-0.7621316755487414,-0.6088979414690925,-0.7617287033197275
2,-0.08153940655218006,0.8069462439267756,-0.09096041506186009,0.2475654780645395,0.647180901535725,0.4733477929960236,0.5072663655640491,-0.8145293377236369,-0.4977278968097377,-0.5178479153596268,-0.6086782405719652,-0.6616393173991849,-0.7192539282144138,-0.25480473118864533,-0.26439068660824905
